Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-04-29,5886.25,6180.3,5886.25,6180.3,4319.9871610896
2020-04-30,6226.77,6226.77,6103.44,6103.44,5511.5920112736
2020-05-01,5873.74,5922.01,5873.74,5922.01,1348.247741288
2020-05-04,5859.44,5859.44,5526.97,5526.97,4165.5820255728
2020-05-05,5553.78,5676.22,5553.78,5676.22,2422.370423144
2020-05-06,5720.02,5720.02,5652.09,5652.09,1802.5121254896
2020-05-07,5693.2,5693.2,5693.2,5693.2,1566.42891104
2020-05-11,5779.9,5791.52,5779.9,5791.52,2212.0213979472
2020-05-12,5759.34,5913.96,5759.34,5913.96,4695.9300997392
2020-05-13,5744.15,5744.15,5526.97,5526.97,19453.928197323
2020-05-14,5597.57,5597.57,5536.8,5536.8,2269.0841654208
2020-05-15,5602.94,5760.24,5602.94,5760.24,5876.3461719872
2020-05-18,5835.31,6031.94,5835.31,6031.94,1288.9472182272
2020-05-19,6140.08,6140.08,6137.4,6137.4,4773.1326674976
2020-05-20,6186.56,6186.56,6174.04,6174.04,7317.460770144
2020-05-21,6174.04,6174.04,6174.04,6174.04
2020-05-22,6174.04,6174.04,6174.04,6174.04
2020-05-25,6240.18,6240.18,6240.18,6240.18,2203.0703755984
2020-05-26,6241.97,6319.73,6241.97,6319.73,9479.1326673792
2020-05-27,6269.67,6269.67,6011.38,6011.38,8794.379457696
2020-05-28,6074.84,6074.84,5922.01,5922.01,5367.2567758992
2020-05-29,5888.94,5888.94,5853.19,5853.19,2278.0351877696
2020-06-01,5853.19,5853.19,5853.19,5853.19
2020-06-02,6048.02,6262.52,6048.02,6262.52,1418.7370422848
2020-06-03,6296.49,6694.21,6296.49,6694.21,5434.3894435152
2020-06-04,6695.99,6765.71,6695.99,6765.71,2652.8592486256
2020-06-05,6765.71,6765.71,6765.71,6765.71
2020-06-08,6914.96,7187.56,6914.96,7187.56,3484.1854492704
2020-06-09,7178.62,7178.62,7028.47,7028.47,2242.2310983744
2020-06-10,6946.25,6946.25,6944.46,6944.46,1549.645744136
2020-06-11,6775.54,6775.54,6586.06,6586.06,4832.4331905584
2020-06-12,6423.4,6795.2,6423.4,6795.2,4412.8540179584
2020-06-15,6569.98,6707.61,6569.98,6707.61,9980.389918912
2020-06-16,6883.68,6905.13,6883.68,6905.13,4915.2301472848
2020-06-17,6917.65,7350.22,6917.65,7350.22,2216.4969091216
2020-06-18,7347.54,7347.54,7257.27,7257.27,1871.8825486928
2020-06-19,7259.06,7259.06,7124.1,7124.1,3084.7460769552
2020-06-22,7061.54,7061.54,7049.92,7049.92,60.4194008544
2020-06-23,7042.77,7042.77,6992.72,6992.72,578.4598192912
2020-06-24,6998.08,6998.08,6832.74,6832.74,462.0965287568
